PRECINCT	DEM	REP	TOTAL
gr	316	1438	1815
sclay	276	1213	1556
sum4	255	1181	1484
sum3	207	716	952
sum2	892	511	1441
sum1	990	526	1555
h27-b	500	592	1138
fr4	459	675	1173
fr2	729	929	1723
h27-a	862	964	1899
g08	1178	365	1584
g09	1599	306	1951
g04	1131	101	1247
g05	1007	80	1098
g06	1011	44	1076
g07	917	321	1278
g01	795	89	906
g02	580	224	822
g40b	552	552	1139
stok	717	2098	2906
g31	607	510	1178
g30	601	751	1409
g33	650	709	1386
g32	991	1012	2038
g35	559	476	1053
g34	741	777	1550
g37	1313	423	1811
g36	836	542	1397
g39	707	423	1153
g38	1077	747	1864
cg3b	1075	992	2119
cg3a	700	671	1395
g41b	683	648	1375
g41a	593	495	1140
mon2a	1600	549	2200
mon2b	837	442	1322
ndri	405	1423	1878
h15	633	616	1307
or2	546	1354	1971
or1	781	1964	2812
h16	423	498	956
cg1	1026	779	1881
cg2	745	792	1583
g40a1	640	614	1284
g40a2	478	403	910
g26	1692	547	2297
g27	1121	1081	2278
g24	634	260	926
g25	870	543	1464
g22	565	851	1440
g23	609	416	1070
g20	887	960	1899
g21	1339	1152	2549
g28	499	336	875
g29	757	422	1224
mon3	1003	1984	3081
mon1	1071	590	1710
fen1	1943	780	2782
h19b	341	328	693
h19a	773	106	910
fen2	452	957	1465
h29a	856	597	1506
h29b	1035	705	1816
h20b	367	512	905
h20a	462	426	930
g53	1869	141	2041
g52	1128	138	1298
g51	797	336	1177
g50	1547	352	1981
g57	1111	253	1398
g56	912	270	1218
g55	1474	326	1846
g54	1565	213	1828
g59	770	192	997
g58	1248	208	1499
smad	750	1046	1864
nmad	680	903	1638
h09	936	30	990
h08	563	57	640
h03	697	193	917
h02	454	552	1049
h01	735	327	1115
h07	810	86	919
h06	1174	737	1996
h05	1123	206	1363
h04	942	570	1562
g43	1304	530	1897
g44	1271	291	1619
g45	2211	443	2745
g46	1762	95	1898
g47	1437	303	1825
g48	1626	467	2194
g49	651	134	818
nwash	149	771	949
gib	757	971	1802
jef1	840	1142	2043
fr3	590	612	1237
jef3	2252	489	2797
jef2	1114	676	1842
pg2	461	1499	2019
jef4	638	758	1430
pg1	451	789	1290
h18	975	279	1284
sdri	1258	2340	3708
h10	1235	164	1442
h11	941	178	1151
h12	606	266	914
h13	532	736	1310
h14	378	781	1184
rc1	1217	1200	2474
rc2	1364	1600	3070
h17	547	232	810
g75	1147	88	1254
g74	1503	39	1569
fr1	1727	1016	2827
g71	1455	50	1540
g70	1508	49	1579
g73	1061	34	1114
g72	1432	91	1557
swash	128	537	686
ncgr2	499	1196	1734
ncgr1	780	1558	2421
g03	1234	92	1344
sf4	967	1766	2819
sf2	347	910	1300
sf3	905	1243	2216
sf1	752	1663	2495
h28	1188	971	2231
h25	1028	1554	2658
h24	707	1017	1781
h26	680	849	1581
h21	420	606	1078
h23	368	653	1055
h22	465	401	899
g68	1295	31	1355
g69	1370	149	1553
g42a	760	738	1545
g62	588	361	990
g63	868	456	1376
g60	886	275	1211
g61	1058	281	1388
g66	990	753	1800
g67	976	28	1029
g64	1343	424	1842
g65	1037	609	1721
jam4	517	1180	1746
g42b	0.0	0.0	0.0
jam5	214	762	1016
nclay1	697	1209	1956
nclay2	285	800	1127
g16	666	552	1233
g15	751	327	1109
jam1	864	1238	2175
jam2	614	766	1418
jam3	580	835	1458
g19	542	643	1211
g18	444	653	1117
g17	672	591	1314
fr5b	380	649	1081
fr5a	659	826	1535
g14	682	288	991
g13	801	341	1177
g12	681	180	887
g11	841	277	1145
g10	1491	343	1882
