PRECINCT	DEM	REP	TOTAL
gr	439	1332	1839
cc	834	1651	2591
cb	243	588	864
ef	466	1076	1624
ar	379	650	1062
at	730	1567	2353
gm	288	565	898
ev	577	1272	1916
cv	151	223	383
es	474	938	1490
hv-1	851	839	1754
hv-3	901	788	1773
hv-2	841	770	1680
pv	619	977	1647
nm	759	1348	2187
rr	237	418	679
nb	671	1773	2565
lj	628	926	1603
ne	436	704	1207
rg	542	1114	1734
lp	651	720	1406
ed	452	1192	1718
nw	542	814	1427
pr	574	1151	1802
fr	999	1588	2637
bc	230	368	625
hs	644	1095	1789
bk	313	507	869
hc	728	1546	2359
fl	1196	1664	2974
mg	226	472	739
sw	645	1085	1808
sm	765	1781	2642
sb	468	1434	1984
se	294	550	880
