PRECINCT	DEM	REP	TOTAL
em	144	663	851
cc1	1349	2637	4257
cd	710	2352	3237
dv1-a	1466	3729	5456
dv1-b	1791	4819	6893
cs	509	1255	1878
cc2	1395	2233	3869
nh	134	686	860
cc4	1336	2733	4325
ch-b	474	1192	1790
cc3	1679	3400	5412
ch-a	584	1091	1757
st4	890	1171	2181
st5	1015	1003	2125
st6	1230	854	2169
st1	976	1577	2669
st2	863	1036	2011
st3	1155	864	2110
tb	479	1061	1619
be	941	2602	3705
ft	1366	3641	5253
ba	754	2218	3159
sh-b	382	1661	2191
sh-a	432	1626	2168
ol	157	730	916
dv2-b	941	2165	3283
dv2-a	673	2199	3040
sb	207	1089	1339
ug	155	838	1037
