PRECINCT	DEM	REP	TOTAL
pr38	211	1182	1432
pr33	578	2011	2679
pr32	561	1332	1993
pr30	969	1380	2442
pr37	722	2026	2814
pr36	476	1394	1927
pr35	794	2225	3126
pr34	1939	1941	4059
pr07	412	1490	1955
pr04	270	586	873
pr23a	779	1935	2817
pr11a	857	1241	2183
pr11b	1380	1804	3312
pr23b	656	1531	2279
pr08	226	1120	1382
pr09	1188	2211	3541
pr28	853	1659	2598
pr12a	1135	1807	3051
pr12b	1142	1917	3165
pr27a	596	615	1253
pr27b	756	1116	1932
pr20	717	1293	2071
pr21	341	1428	1818
pr22	541	1522	2131
pr24	842	540	1424
pr25	826	744	1633
pr26	943	534	1520
pr31b	1334	2310	3790
pr10b	421	1010	1478
pr31a	596	1294	1973
pr29b	1983	3775	5963
pr29a	1192	2615	3972
pr13	439	1348	1855
pr14	257	1339	1659
pr19	280	876	1181
pr10a	1067	826	1963
