PRECINCT	DEM	REP	TOTAL
098	1269	221	1543
099	1096	200	1342
214	1763	658	2525
215	1066	1345	2520
212	5059	1362	6616
213	2610	374	3068
210	3468	444	4014
211	4677	1622	6546
090	595	645	1291
091	1363	1945	3394
092	981	1280	2306
093	554	853	1459
094	851	398	1313
095	959	270	1277
096	794	739	1588
097	752	200	992
010	1134	817	2020
011	3364	1926	5529
012	1424	133	1608
130	726	317	1081
137	1565	2469	4177
015	1695	602	2386
135	3711	647	4490
017	1095	122	1281
018	482	907	1410
019	584	800	1417
218	674	1253	2048
138	1621	451	2163
013	1593.0	517.0	2201.0
014	1341.0	173.0	1585.0
025	1347	45	1418
024	1484	256	1799
027	1331	135	1528
026	1861	270	2191
021	938	525	1529
020	1006	825	1874
126	1673	322	2062
127	1415	2075	3591
128	1351	786	2215
129	552	256	850
088	974	872	1947
219	612	1093	1783
029	947	347	1355
028	1139	200	1419
133	1312	2202	3647
132	879	341	1278
085	1053	709	1840
131	574	819	1447
216	1590	1652	3393
136	644	977	1681
204.1	2887	599	3589
084	1144	258	1457
147	1749	438	2263
100	966	1093	2134
134	2145	2389	4786
203	2729	869	3737
114	935	1274	2288
038	885	488	1456
039	1355	72	1462
217	924	954	1963
110	495	576	1108
113	1051	1515	2650
112	651	1020	1742
032	563	1107	1681
033	959	287	1304
030	1581	466	2157
031	1401	74	1515
036	955	933	1937
118	948	1079	2087
034	1078	450	1631
035	695	636	1360
057	754	844	1647
140	1675	2144	3946
223.1	2854	1819	4849
083	1549	642	2293
146	2210	393	2688
108	1173	174	1403
109	1233	597	1918
241	1973	2381	4517
240	1570	2593	4406
049	858	852	1760
048	566	1034	1621
047	963	1087	2108
046	1365	414	1870
045	819	301	1175
044	842	353	1240
043	1571	180	1803
042	1600	77	1710
041	1347	144	1560
040	1309	174	1536
001	604	605	1240
238.1	1398	765	2248
016	1892.0	70.0	1996.0
141	2241.0	848.0	3234.0
089	2734	1285	4181
243	3809	2282	6415
242	581	1674	2310
115	766.0	313.0	1117.0
116	822.0	222.0	1084.0
102	1962	837	2922
058	810	726	1612
059	559	382	983
103	1138	1375	2608
054	1675	142	1859
055	985	38	1046
056	843	38	911
139.1	1089	1415	2599
050	785	477	1339
051	1186	850	2124
052	1542	79	1650
053	1785	179	2025
101	813	997	1880
106	627	688	1369
104	1774	175	2003
105	2074	554	2751
202	2447	3031	5758
061	1091	419	1568
060	1211	90	1328
062	1064	234	1348
065	554	534	1126
067	562	614	1212
066	651	539	1238
069	1285	1819	3211
068	786	449	1273
142	1658	2426	4266
226	1236.0	1313.0	2675.0
225	624.0	763.0	1473.0
229	2936	2643	5823
228	1843	763	2706
227	1929	2331	4387
224	981	742	1797
222	3490	971	4629
221	983	2162	3265
220	842	1456	2384
022	2785	1657	4633
117	1035	322	1413
111	990	1156	2210
076	1027	1154	2270
077	1348	126	1518
074	852	1202	2127
075	977	1518	2570
072	556	657	1254
073	620	660	1346
070	754	1020	1806
071	474	910	1406
079	830	406	1283
151	2175.0	731.0	3016.0
150	1499.0	802.0	2401.0
239	1628	662	2367
234	1162	1045	2321
235	1264	1040	2405
236	919	2122	3184
237	2101	577	2800
230	3275	1517	4997
231	1624	1297	3049
232	1590	2056	3777
233	1136	1815	3057
107.1	2002	481	2564
119	597	621	1264
037	734	736	1553
063	1110.0	283.0	1456.0
064	448.0	258.0	737.0
201	3003	1469	4651
200	660	720	1438
144	1133	1403	2620
145	4060	2711	6990
205	1541	869	2483
143	1602	2352	4107
207	1415	2217	3800
206	2534	1592	4246
209	1374	1825	3362
208	1203	2266	3605
081	2176	447	2703
080	1445	478	2001
087	1062	859	2049
086	589	1094	1719
148	3616	3460	7388
149	2919	655	3693
003	1296	116	1454
002	1518	719	2322
082	1743	100	1891
007	838	417	1316
006	1188	201	1445
005	789	161	1002
004	1086	339	1476
009	1389	956	2429
008	795	1122	1958
120	1187	232	1474
121	1171	1867	3130
023	1002	200	1244
122	2233	1338	3757
123	1343	319	1719
078.1	891	301	1262
124	1402	197	1647
125	643	216	899
