PRECINCT	DEM	REP	TOTAL
w18	484	570	1124
w17	800	911	1771
w16	1027	1280	2408
w15	2234	601	2972
w13	922	400	1390
w12	708	578	1335
h08	1588	2621	4390
w21	1271.0	1339.0	2739.0
w03	1186.0	214.0	1462.0
h03	1293	2252	3686
h02	872	2026	2964
h01	563	648	1288
h06	835	1148	2141
h05	1008	1723	2850
h04	1184	1614	2916
w26	970	608	1687
w27	1637	442	2184
w24	1516	1111	2796
w25	1976	411	2516
w28	1328	906	2388
w29	1961	163	2191
w08	717	398	1172
wb	606	1029	1682
cf02	662	1231	1996
fp06	933	1564	2663
fp07	1175	2137	3479
fp04	1188	2095	3465
m02	1768	2778	4714
fp03	511	792	1370
fp08	1428	2128	3780
m06	789	1311	2202
cf01	1144	1230	2491
cf06	780	1179	2055
cf05	852	1171	2122
m07	550	956	1567
h10	1351	1220	2740
h11	1591	2525	4292
h12	857	1639	2603
h13	1206	2047	3340
m04	1917	2584	4717
w31	1181	1688	2960
w30	1418	1287	2839
m03	1007	1598	2768
