PRECINCT	DEM	REP	TOTAL
ch	871	148	1036
co	1773	303	2126
eh	1510	292	1836
wd	1752	369	2183
cc	1332	387	1777
cb	1150	136	1318
ca	381	423	831
ef	738	803	1591
cg	569	543	1160
cf	1363	415	1803
cx	1924	1777	3835
gb	1736	961	2797
cp	1367	1069	2532
cw	777	1307	2147
es	1100	187	1309
gr	1349	284	1664
gl	1337	485	1860
lc	1728	211	1985
nc	1740	280	2043
eno	922	991	2000
to	554	543	1123
rf	1260	300	1601
pa	2514	1017	3608
th	1468	103	1598
ns	1737	412	2200
dm	1608	351	2009
wc	856	496	1385
bc	1222	319	1580
ea	1391	414	1844
da	1988	416	2440
ww	962	259	1246
bp	631	150	794
li	1270	446	1760
wh	1414	433	1892
hf	2326	636	3032
mf	1703	454	2219
og	1691	1018	2785
h	687	132	832
km	1332	361	1719
sj	1854	435	2343
wds	394	30	427
sm	1033	1103	2207
ow	1725	193	1975
cs1	838	492	1364
