PRECINCT	DEM	REP	TOTAL
0101	1387	1231	2715
1301	177	592	792
1403a1	855	1330	2248
1513b	829	1080	1962
1513a	960	1279	2300
1403a2	1058	1151	2290
1201	1188	1204	2465
1511b	1178	1174	2470
0401	661	443	1138
0200b	939	626	1621
0501	328	593	945
0200a	701	1146	1912
1503	1389	348	1793
1501	650	64	727
1507b	815	645	1516
1507	1419	1062	2588
1102b	854	1778	2719
1102a	897	1410	2360
1509	1795	1338	3265
1505a	1334	405	1776
0301	1763	850	2682
1511a	974	1622	2645
1101	391	487	904
1510b	916	1092	2070
1510a	631	1099	1765
1403b	1674	1867	3644
0901	207	336	560
1512a	2040	1532	3678
1512b	1075	630	1759
0800a	846	858	1743
1508b	599	482	1140
1508a	435	585	1060
0800b	767	636	1452
1504b	2008	745	2855
1504a	1507	263	1819
0601	731	2526	3333
1505b	1695	132	1873
1506	934	375	1356
0701	522	941	1491
1001	840	1149	2076
