PRECINCT	DEM	REP	TOTAL
26a	1385	576	1994
22	874	727	1633
03	348.0	741.0	1168.0
15	529.0	83.0	542.0
11a	392.0	459.0	885.0
38	132.0	168.0	312.0
02	650	426	1100
25	348	413	777
01	221	287	518
20	294	373	682
07	263	175	440
04	391	684	1097
23	718	994	1746
08	278	741	1036
09	344	409	773
28	210	310	538
29	604	286	901
40	173	136	314
41	444	1260	1749
24	240	277	530
05a	1272	684	1991
12	758	365	1139
13	492	519	1041
21	589	635	1263
11	781	1891	2718
10	289	282	586
39	370	385	771
18a	437	638	1096
14	272	288	581
17	160	96	263
16	672	34	716
19	1221	448	1684
30	480	679	1197
37	59	304	371
36	343	278	632
35	339	768	1120
34	247	441	704
33	146	165	318
32a	1236	1328	2633
