PRECINCT	DEM	REP	TOTAL
45	405	456	902
42	970	36	1022
14a	685	2148	3004
02	370	457	873
03	214	1379	1701
26	199	1028	1295
01	176	993	1237
07	440	832	1330
04	429	2186	2754
23	122	863	1055
08	644	1554	2316
09	179	1179	1435
28	798	637	1531
29	173	671	881
40	857	791	1723
41	901	809	1786
24	177	709	947
25	342	1963	2433
39	612	680	1348
05a	620	2022	2789
27	224	644	907
38	1122	600	1801
19a	531	2075	2754
21	559	1204	1858
11	605	1329	2035
10	335	1531	1959
13	178	1180	1432
12	562	655	1276
15	454	1691	2254
22	75	505	612
17	445	965	1507
16	394	720	1178
33	151	1084	1310
18	485	49	552
31	248	796	1089
30	477	920	1478
36	1088	657	1824
35	549	274	862
34	897	746	1722
32	304	811	1160
44	231	1401	1747
