PRECINCT	DEM	REP	TOTAL
023	411	1060	1546
022	274	1493	1861
010	564	246	847
011	227	1598	1889
012	196	1538	1787
013	217	1729	2018
014	256	640	947
015	1066	1853	3092
016	1008	2306	3480
033	502	1108	1695
018	500	1435	1992
019	1081	2574	3837
030	1021	1912	3070
031	865	1493	2479
036	386	953	1380
017b	885	2139	3137
034	581	1706	2378
035	419	1025	1510
032	575	1689	2342
042	427	813	1319
029a	1361	1739	3262
029c	453	1034	1564
029b	390	807	1258
037b	280	873	1193
037a	1230	2037	3443
003	392	293	726
002	711	375	1151
001	424	175	628
026	270	1005	1338
007	788	1504	2395
006	268	975	1306
005	666	1280	2056
004	659	150	835
038b	575	1109	1771
017a	651	1525	2272
009	620	348	994
008	928	654	1654
043	482	82	586
024	320	1312	1690
041	776	1973	2829
040	786	1943	2810
025	317	978	1366
020b	779	1991	2897
020a	1063	1624	2825
027	275	991	1305
039	275	1249	1589
038a	840	1342	2304
021	336	1308	1713
028d	1035	1940	3095
028b	813	1837	2752
028c	773	1741	2585
028a	1119	2389	3596
