PRECINCT	DEM	REP	TOTAL
19-14	1002	1183	2266
13-05	1149	434	1646
17-06	748	820	1604
15-03	1246	2290	3655
12-08	1723	1574	3427
01-06	1597	707	2370
07-07a	265	217	489
13-11	1231	1343	2660
13-10	2314	2308	4759
19-04	2878	2968	6009
12-01	1568	2729	4447
09-03	891	1292	2244
09-02	1626	991	2695
09-01	785	1006	1841
04-20	1491	929	2541
01-49	1591	629	2322
04-21	959	401	1441
01-47	863	996	1910
01-46	1919	313	2291
01-45	821	636	1516
01-44	1873	958	2916
01-43	1169	539	1773
01-42	994	1379	2419
01-41	1194	419	1679
01-40	2906	190	3162
17-01	1495	605	2162
07-12	1305	826	2190
06-08	984	813	1862
05-07	3453	1669	5305
05-06	2167	1859	4107
05-05	3402	2167	5776
05-03	1415	1352	2823
05-01	1807	1391	3323
05-08	1543	736	2360
04-13	2029	1669	3801
04-12	1266	1042	2386
04-11	817	376	1248
04-10	1239	984	2320
04-17	990	565	1615
04-16	1070	692	1826
04-15	1173	798	2050
04-14	787	610	1461
01-50	1960	110	2112
01-51	516	421	968
04-19	832	630	1527
04-18	1276	875	2206
15-01	1264	2025	3417
07-10	2404	1423	3951
14-02	1507	3183	4840
02-06	805	1428	2270
02-04	774	1247	2060
02-05	390	494	905
02-02	1871	2710	4682
02-03	965	1541	2564
02-01	1207	1401	2670
13-01	2647	634	3399
01-07a	197	28	232
16-07	1424	1236	2754
16-06	758	381	1189
16-05	1049	1001	2129
16-04	1099	1026	2191
07-09	1536	1005	2637
16-02	3002	677	3773
16-01	919	1100	2093
07-05	841	641	1539
07-04	2154	1123	3402
07-07	1627	1332	3057
07-06	1441	1464	2959
07-01	865	511	1431
07-03	693	657	1379
07-02	730	614	1385
17-11	2431	808	3340
17-10	593	320	947
04-08	1297	613	1981
04-09	1037	997	2082
04-04	825	515	1393
04-05	1704	1180	2967
04-06	1340	1072	2480
04-07	1018	1422	2476
19-11	1015	1256	2387
04-01	1056	682	1805
04-02	1187	800	2080
04-03	1005	579	1637
06-10	922	1340	2353
01-29	974	1074	2092
01-28	2692	488	3267
17-05	2177	881	3134
16-03	729	441	1218
01-27	1267	239	1550
01-26	1794	111	1945
01-21	2106	927	3119
01-20	1776	235	2074
01-22	2853	134	3038
03-00	1271	1636	2994
17-07	2390	450	2896
11-02	1991	1480	3567
11-01	2318	1426	3895
18-04	1464	1714	3270
17-02	381	379	795
17-03	3355	1577	5080
14-01	206	400	626
07-13	1073	758	1906
08-11	1885	1304	3302
08-10	1219	902	2204
18-08	1646	1406	3175
17-08	3851	2155	6229
17-09	2435	242	2723
19-09	1386	2011	3513
18-01	2603	1058	3852
19-07	1117	1150	2322
18-03	1031	911	1998
18-02	1557	2306	3972
18-05	1999	2131	4230
19-03	971	1361	2440
18-07	1042	1652	2799
18-06	2050	1105	3286
20-06a	2021	1596	3762
06-07	1379	1282	2748
06-04	1457	1269	2865
20-06b	1344	1496	2952
01-36	885	1120	2045
06-06	2054	2132	4347
01-34	1131	50	1204
01-35	1573	64	1657
01-32	1367	524	1968
01-33	752	480	1256
01-30	559	544	1126
01-31	2001	532	2649
10-01	329	673	1028
10-03	1085	937	2108
10-02	1465	1353	2924
01-38	1190	557	1805
06-05	1054	1664	2801
08-08	1789	1785	3667
08-09	994	663	1712
01-37	836	711	1589
08-02	1813	1416	3325
08-03	2286	1804	4265
08-04	690	783	1520
08-05	900	909	1846
08-06	1214	486	1786
08-07	974	1240	2285
06-09	1749	2295	4198
15-02	1848	2294	4304
20-10	1469	1133	2665
01-09	745	277	1042
20-12	981	1161	2193
20-15	1760	1032	2880
20-14	2612	1979	4721
15-04	731	1034	1825
20-16	1518	846	2438
01-03	915	880	1824
01-02	1063	538	1655
01-01	1204	435	1687
01-07	1233	448	1727
19-17	2486	1369	3982
01-05	471	460	943
01-04	562	497	1081
19-16	1053	1131	2253
07-11	551	493	1067
19-10	2686	3752	6645
19-13	985	731	1775
19-12	2042	2328	4520
10-04	2927	2186	5267
01-14	2291	584	2963
01-15	828	704	1574
01-16	1363	792	2211
01-17	417	494	933
01-10	785	536	1341
01-11	652	1186	1858
01-12	920	633	1592
01-13	1038	272	1342
01-18	1333	871	2279
01-19	1314	55	1388
20-03	1442	1479	3039
12-09	1248	1888	3242
20-01	1492	1230	2854
20-04	1582	1226	2922
20-05	1499	1662	3245
12-02	1615	1737	3504
20-08	1797	1831	3759
20-09	1177	1118	2371
12-07	800	1226	2113
12-06	1101	1708	2910
12-05	2400	3405	6018
12-04	1005	2176	3309
16-09	1536	964	2603
01-25	516.0	37.0	502.0
01-23	3337.0	1729.0	5355.0
20-17	1515	1286	2884
19-05	901	1603	2580
16-08	4797	778	5723
17-04	2803	1655	4612
01-48	1349	460	1878
19-15	898	1156	2112
01-39	1404	679	2167
13-02	835	846	1737
20-11	1374	1644	3138
13-06	1349	1096	2532
13-07	1271	566	1886
13-08	1583	409	2051
13-09	2449	748	3293
