PRECINCT	DEM	REP	TOTAL
30	795	230	1042
02	624	1653	2347
03	428	1670	2164
26	850	654	1551
01	492	1037	1571
06	809	999	1860
07	1036	1917	3033
04	662	2151	2895
05	627	1873	2561
08	405	1413	1888
09	461	1312	1836
28	831	1207	2081
29	821	407	1250
14	562	1579	2192
24	258	1557	1877
25	481	934	1444
27	839	282	1143
20	964	84	1069
21	831	397	1249
11	912	727	1675
10	866	270	1151
13	875	458	1379
12	1176	973	2207
15	612	1390	2053
22	623	524	1175
17	704	54	770
16	620	951	1608
19	862	91	964
18	716	162	905
23	544	574	1164
