statefp,state,maptype,countyFP,county,district,percentage
01,AL,Compact,001,Autauga County,07,1.0000000000000016
01,AL,Compact,003,Baldwin County,01,0.8292375836920286
01,AL,Compact,005,Barbour County,02,0.9998240265032347
01,AL,Compact,007,Bibb County,07,0.9999798367931244
01,AL,Compact,009,Blount County,04,0.9999124839082849
01,AL,Compact,011,Bullock County,02,0.9999884877124866
01,AL,Compact,013,Butler County,07,0.9999803377339451
01,AL,Compact,015,Calhoun County,03,1.0000000000000002
01,AL,Compact,017,Chambers County,02,0.9998178805952139
01,AL,Compact,019,Cherokee County,03,0.999804839941164
01,AL,Compact,021,Chilton County,07,0.9999736186447973
01,AL,Compact,023,Choctaw County,07,0.999904570158674
01,AL,Compact,025,Clarke County,07,0.9999926374377914
01,AL,Compact,027,Clay County,02,0.2556199439311227
01,AL,Compact,027,Clay County,03,0.7443808481208644
01,AL,Compact,029,Cleburne County,03,0.9998357622538272
01,AL,Compact,031,Coffee County,02,0.9999933195289702
01,AL,Compact,033,Colbert County,04,0.9999434309389158
01,AL,Compact,035,Conecuh County,01,0.7939047551012762
01,AL,Compact,035,Conecuh County,07,0.20609524489878298
01,AL,Compact,037,Coosa County,02,0.9999710417604637
01,AL,Compact,039,Covington County,01,0.9998606389380112
01,AL,Compact,041,Crenshaw County,07,0.999851522015338
01,AL,Compact,043,Cullman County,04,0.99996563026259
01,AL,Compact,045,Dale County,02,0.9999999999999986
01,AL,Compact,047,Dallas County,07,0.9999999999999994
01,AL,Compact,049,DeKalb County,03,0.9999329921282816
01,AL,Compact,051,Elmore County,02,0.7422331986602956
01,AL,Compact,051,Elmore County,07,0.25776680133968655
01,AL,Compact,053,Escambia County,01,0.9996337336853771
01,AL,Compact,055,Etowah County,03,0.9999492031508482
01,AL,Compact,057,Fayette County,04,0.9999999999999988
01,AL,Compact,059,Franklin County,04,0.9999032299605899
01,AL,Compact,061,Geneva County,02,0.9996784863648593
01,AL,Compact,063,Greene County,07,0.9999635323919711
01,AL,Compact,065,Hale County,07,0.9999999999999987
01,AL,Compact,067,Henry County,02,0.9996669846039651
01,AL,Compact,069,Houston County,02,0.9995196783559894
01,AL,Compact,071,Jackson County,05,0.999881846493321
01,AL,Compact,073,Jefferson County,06,0.9999310011570631
